ANIO_REPORT;ANIO;CODMES;MES;DIA;COD_PROV;PROV;COD_CANT;CANT;COD_TIPO;TIPO;COD_EST;ESTACION;PM2.5
2021;2005;1;Enero;17;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;10,67
2021;2005;1;Enero;18;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;11,10
2021;2005;1;Enero;19;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;11,74
2021;2005;1;Enero;20;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;11,38
2021;2005;1;Enero;21;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;15,86
2021;2005;1;Enero;22;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;16,02
2021;2005;1;Enero;23;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;13,67
2021;2005;1;Enero;24;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;9,95
2021;2005;1;Enero;25;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;16,50
2021;2005;1;Enero;26;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;20,21
2021;2005;1;Enero;27;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;15,28
2021;2005;1;Enero;28;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;19,45
2021;2005;1;Enero;29;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;17,97
2021;2005;1;Enero;30;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;17,67
2021;2005;1;Enero;31;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;5;Centro;16,07
2021;2005;1;Enero;1;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;30,38
2021;2005;1;Enero;2;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;24,14
2021;2005;1;Enero;3;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;19,78
2021;2005;1;Enero;4;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;18,68
2021;2005;1;Enero;5;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;13,50
2021;2005;1;Enero;6;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;13,48
2021;2005;1;Enero;7;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;13,11
2021;2005;1;Enero;8;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;14,21
2021;2005;1;Enero;9;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;13,77
2021;2005;1;Enero;10;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;11,42
2021;2005;1;Enero;11;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;11,58
2021;2005;1;Enero;12;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;10,01
2021;2005;1;Enero;13;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;21,21
2021;2005;1;Enero;14;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;26,81
2021;2005;1;Enero;15;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;23,16
2021;2005;1;Enero;16;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;12,43
2021;2005;1;Enero;17;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;14,68
2021;2005;1;Enero;18;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;14,67
2021;2005;1;Enero;19;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;19,17
2021;2005;1;Enero;20;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;18,12
2021;2005;1;Enero;21;17;Pichincha;1701;Distrito Metropolitano de Quito;1;Automática;9;Jipijapa;21,43
